x0,y0,x1,y1
0.840188,0.394383,0.783099,0.79844
1.01339,0.294383,0.983099,0.79844
1.11339,0.121178,1.1563,0.69844
1.21339,-0.0520272,1.32951,0.59844
1.21339,-0.252027,1.50271,0.49844
1.11339,-0.425232,1.70271,0.49844
1.01339,-0.598437,1.90271,0.49844
0.840188,-0.698437,2.10271,0.49844
0.666983,-0.798437,2.30271,0.49844
0.466983,-0.798437,2.47592,0.39844
0.266983,-0.798437,2.57592,0.225235
0.0669826,-0.798437,2.57592,0.025235
-0.106222,-0.698437,2.47592,-0.14797
-0.206222,-0.525232,2.37592,-0.321175
-0.306222,-0.352027,2.20271,-0.421175
-0.406222,-0.178822,2.00271,-0.421175
-0.406222,0.0211778,1.82951,-0.321175
-0.406222,0.221178,1.72951,-0.14797
-0.306222,0.394383,1.62951,0.025235
-0.133017,0.494383,1.62951,0.225235
0.0401877,0.594383,1.72951,0.39844
0.240188,0.594383,1.90271,0.49844
0.413393,0.494383,2.07592,0.59844
0.586598,0.394383,2.17592,0.771645
0.759803,0.294383,2.34912,0.871645
0.859803,0.121178,2.54912,0.871645
0.859803,-0.0788222,2.74912,0.871645
0.859803,-0.278822,2.94912,0.871645
0.759803,-0.452027,3.12233,0.771645
0.586598,-0.552027,3.22233,0.59844
0.413393,-0.652027,3.39553,0.49844
0.213393,-0.652027,3.56874,0.39844
0.0401877,-0.552027,3.74194,0.29844
-0.0598123,-0.378822,3.84194,0.125235
-0.159812,-0.205617,3.84194,-0.074765
-0.259812,-0.032412,3.94194,-0.24797
-0.359812,0.140793,3.94194,-0.44797
-0.359812,0.340793,3.84194,-0.621175
-0.359812,0.540793,3.74194,-0.79438
-0.259812,0.713998,3.56874,-0.89438
-0.0866072,0.813998,3.36874,-0.89438
0.0865979,0.913998,3.16874,-0.89438
0.286598,0.913998,2.99553,-0.79438
0.459803,0.813998,2.89553,-0.621175
0.559803,0.640793,2.79553,-0.44797
0.559803,0.440793,2.79553,-0.24797
0.559803,0.240793,2.79553,-0.0479701
0.459803,0.067588,2.69553,0.125235
0.286598,-0.032412,2.69553,0.325235
0.0865979,-0.032412,2.59553,0.49844
-0.113402,-0.032412,2.59553,0.69844
-0.313402,-0.032412,2.59553,0.89844
-0.486607,0.067588,2.49553,1.07165
-0.659812,0.167588,2.49553,1.27165
-0.833017,0.267588,2.39553,1.44485
-0.933017,0.440793,2.39553,1.64485
-0.933017,0.640793,2.49553,1.81806
-0.933017,0.840793,2.66874,1.91806
-0.933017,1.04079,2.86874,1.91806
-0.933017,1.24079,3.04194,1.81806
-0.933017,1.44079,3.14194,1.64485
-0.833017,1.614,3.24194,1.47165
-0.733017,1.7872,3.34194,1.29844
-0.633017,1.96041,3.34194,1.09844
-0.459812,2.06041,3.44194,0.925235
-0.259812,2.06041,3.61515,0.825235
-0.0866072,1.96041,3.71515,0.65203
0.0865979,1.86041,3.71515,0.45203
0.186598,1.6872,3.71515,0.25203
0.186598,1.4872,3.61515,0.0788248
0.186598,1.2872,3.51515,-0.0943803
0.0865979,1.114,3.41515,-0.267585
-0.0866072,1.014,3.31515,-0.44079
-0.286607,1.014,3.31515,-0.64079
-0.486607,1.014,3.31515,-0.84079
-0.659812,1.114,3.21515,-1.014
-0.759812,1.2872,3.11515,-1.1872
-0.759812,1.4872,2.94194,-1.2872
-0.659812,1.66041,2.76874,-1.3872
-0.559812,1.83361,2.56874,-1.3872
-0.459812,2.00682,2.39553,-1.4872
-0.286607,2.10682,2.29553,-1.66041
-0.0866072,2.10682,2.12233,-1.76041
0.0865979,2.00682,1.92233,-1.76041
0.259803,1.90682,1.72233,-1.76041
0.359803,1.73361,1.52233,-1.76041
0.359803,1.53361,1.34912,-1.66041
0.259803,1.36041,1.17592,-1.56041
0.0865979,1.26041,1.00271,-1.46041
-0.0866072,1.16041,0.829509,-1.36041
-0.259812,1.06041,0.656304,-1.26041
-0.459812,1.06041,0.483099,-1.16041
-0.659812,1.06041,0.383099,-0.987201
-0.859812,1.06041,0.383099,-0.787201
-1.03302,1.16041,0.483099,-0.613996
-1.20622,1.26041,0.656304,-0.513996
-1.30622,1.43361,0.856304,-0.513996
-1.30622,1.63361,1.02951,-0.613996
-1.20622,1.80682,1.12951,-0.787201
-1.03302,1.90682,1.12951,-0.987201
-0.833017,1.90682,1.02951,-1.16041
-0.659812,1.80682,0.856304,-1.26041
-0.559812,1.63361,0.656304,-1.26041
-0.559812,1.43361,0.483099,-1.16041
-0.659812,1.26041,0.309894,-1.06041
-0.833017,1.16041,0.209894,-0.887201
-1.03302,1.16041,0.209894,-0.687201
-1.20622,1.26041,0.309894,-0.513996
-1.37943,1.36041,0.409894,-0.34079
-1.47943,1.53361,0.583099,-0.24079
-1.47943,1.73361,0.783099,-0.24079
-1.37943,1.90682,0.956304,-0.34079
-1.20622,2.00682,1.12951,-0.44079
-1.00622,2.00682,1.22951,-0.613996
-0.806222,2.00682,1.32951,-0.787201
-0.633017,1.90682,1.50271,-0.887201
