x0,y0,x1,y1
0.840188,0.394383,0.783099,0.79844
1.01339,0.294383,0.983099,0.79844
1.11339,0.121178,1.1563,0.69844
1.21339,-0.0520272,1.32951,0.59844
1.21339,-0.252027,1.50271,0.49844
1.11339,-0.425232,1.70271,0.49844
1.01339,-0.598437,1.90271,0.49844
0.840188,-0.698437,2.10271,0.49844
0.666983,-0.798437,2.30271,0.49844
0.466983,-0.798437,2.47592,0.39844
0.266983,-0.798437,2.57592,0.225235
0.0669826,-0.798437,2.57592,0.025235
-0.106222,-0.698437,2.47592,-0.14797
-0.206222,-0.525232,2.37592,-0.321175
-0.306222,-0.352027,2.20271,-0.421175
-0.406222,-0.178822,2.00271,-0.421175
-0.406222,0.0211778,1.82951,-0.321175
-0.406222,0.221178,1.72951,-0.14797
-0.306222,0.394383,1.62951,0.025235
-0.133017,0.494383,1.62951,0.225235
0.0401877,0.594383,1.72951,0.39844
0.240188,0.594383,1.90271,0.49844
0.413393,0.494383,2.07592,0.59844
0.586598,0.394383,2.17592,0.771645
0.759803,0.294383,2.34912,0.871645
0.859803,0.121178,2.54912,0.871645
0.859803,-0.0788222,2.74912,0.871645
0.859803,-0.278822,2.94912,0.871645
0.759803,-0.452027,3.12233,0.771645
0.586598,-0.552027,3.22233,0.59844
0.413393,-0.652027,3.39553,0.49844
0.213393,-0.652027,3.56874,0.39844
0.0401877,-0.552027,3.74194,0.29844
-0.0598123,-0.378822,3.84194,0.125235
-0.0598123,-0.178822,3.84194,-0.074765
-0.0598123,0.0211778,3.94194,-0.24797
-0.0598123,0.221178,3.94194,-0.44797
0.0401877,0.394383,3.84194,-0.621175
0.140188,0.567588,3.74194,-0.79438
0.313393,0.667588,3.56874,-0.89438
0.513393,0.667588,3.36874,-0.89438
0.713393,0.667588,3.16874,-0.89438
0.886598,0.567588,2.99553,-0.79438
0.986598,0.394383,2.89553,-0.621175
1.0866,0.221178,2.79553,-0.44797
1.1866,0.0479728,2.79553,-0.24797
1.2866,-0.125232,2.79553,-0.0479701
1.2866,-0.325232,2.69553,0.125235
1.1866,-0.498437,2.69553,0.325235
1.01339,-0.598437,2.59553,0.49844
0.840188,-0.698437,2.59553,0.69844
0.666983,-0.798437,2.59553,0.89844
0.466983,-0.798437,2.49553,1.07165
0.266983,-0.798437,2.49553,1.27165
0.0669826,-0.798437,2.39553,1.44485
-0.133017,-0.798437,2.39553,1.64485
-0.306222,-0.698437,2.49553,1.81806
-0.479428,-0.598437,2.66874,1.91806
-0.652633,-0.498437,2.86874,1.91806
-0.825838,-0.398437,3.04194,1.81806
-0.999043,-0.298437,3.14194,1.64485
-1.17225,-0.198437,3.24194,1.47165
-1.34545,-0.0984374,3.34194,1.29844
-1.51866,0.0015626,3.34194,1.09844
-1.61866,0.174768,3.44194,0.925235
-1.61866,0.374768,3.61515,0.825235
-1.51866,0.547973,3.71515,0.65203
-1.41866,0.721178,3.71515,0.45203
-1.24545,0.821178,3.71515,0.25203
-1.04545,0.821178,3.61515,0.0788248
-0.845453,0.821178,3.51515,-0.0943803
-0.672248,0.721178,3.41515,-0.267585
-0.572248,0.547973,3.31515,-0.44079
-0.572248,0.347973,3.31515,-0.64079
-0.572248,0.147973,3.31515,-0.84079
-0.672248,-0.0252323,3.21515,-1.014
-0.845453,-0.125232,3.11515,-1.1872
-1.04545,-0.125232,2.94194,-1.2872
-1.21866,-0.0252323,2.76874,-1.3872
-1.39186,0.0747677,2.56874,-1.3872
-1.56507,0.174768,2.39553,-1.4872
-1.66507,0.347973,2.29553,-1.66041
-1.66507,0.547973,2.12233,-1.76041
-1.56507,0.721178,1.92233,-1.76041
-1.46507,0.894383,1.72233,-1.76041
-1.29186,0.994383,1.52233,-1.76041
-1.11866,1.09438,1.34912,-1.66041
-0.945453,1.19438,1.17592,-1.56041
-0.745453,1.19438,1.00271,-1.46041
-0.545453,1.19438,0.829509,-1.36041
-0.345453,1.19438,0.656304,-1.26041
-0.172248,1.09438,0.483099,-1.16041
0.000957233,0.994383,0.383099,-0.987201
0.174162,0.894383,0.383099,-0.787201
0.274162,0.721178,0.483099,-0.613996
0.374162,0.547973,0.656304,-0.513996
0.374162,0.347973,0.856304,-0.513996
0.274162,0.174768,1.02951,-0.613996
0.100957,0.0747677,1.12951,-0.787201
-0.0722478,-0.0252323,1.12951,-0.987201
-0.272248,-0.0252323,1.02951,-1.16041
-0.472248,-0.0252323,0.856304,-1.26041
-0.672248,-0.0252323,0.656304,-1.26041
-0.845453,0.0747677,0.483099,-1.16041
-1.01866,0.174768,0.309894,-1.06041
-1.11866,0.347973,0.209894,-0.887201
-1.21866,0.521178,0.209894,-0.687201
-1.21866,0.721178,0.309894,-0.513996
-1.21866,0.921178,0.409894,-0.34079
-1.21866,1.12118,0.583099,-0.24079
-1.11866,1.29438,0.783099,-0.24079
-0.945453,1.39438,0.956304,-0.34079
-0.745453,1.39438,1.12951,-0.44079
-0.545453,1.39438,1.22951,-0.613996
-0.345453,1.39438,1.32951,-0.787201
